subid,attribution_technical,attribution_survey,convert_TF,Tier,revenue,,
20052101,facebook,facebook,FALSE,7,#REF!,,
20052255,search,referral,TRUE,8,18.3867,,
20052310,facebook,facebook,TRUE,4,#REF!,,
20052370,facebook,tv,TRUE,3,#REF!,,
20052427,facebook,sirius xm,TRUE,7,18.0931,,
20052475,facebook,facebook,FALSE,7,#REF!,,
20052500,facebook,facebook,FALSE,3,#REF!,,
20052642,facebook,tv,TRUE,1,18.0931,,
20052695,facebook,facebook,TRUE,2,36.1495,,
20052986,facebook,referral,TRUE,5,#REF!,,
20053045,facebook,facebook,FALSE,1,#REF!,,
20053113,facebook,other,FALSE,6,#REF!,,
20053123,search,facebook,TRUE,7,18.0931,,
20053128,facebook,facebook,TRUE,4,36.1495,,
20053165,facebook,referral,FALSE,5,#REF!,,
20053377,facebook,other,TRUE,7,36.1495,,
20053415,facebook,tv,TRUE,4,36.1495,,
20053482,facebook,facebook,FALSE,6,#REF!,,
20053952,facebook,facebook,TRUE,8,#REF!,,
20053996,facebook,tv,FALSE,1,#REF!,,
20054047,search,tv,FALSE,2,#REF!,,
20054138,facebook,facebook,TRUE,2,36.1495,,
20054167,search,facebook,FALSE,8,#REF!,,
20054171,facebook,facebook,TRUE,2,36.1495,,
20054295,facebook,facebook,TRUE,3,18.1665,,
20054359,facebook,tv,TRUE,3,#REF!,,
20054578,facebook,facebook,TRUE,7,36.1495,,
20054588,facebook,facebook,FALSE,1,#REF!,,
20054696,facebook,facebook,TRUE,3,18.717,,
20054702,search,other,TRUE,6,18.0931,,
20054855,facebook,facebook,FALSE,1,#REF!,,
20054904,bing,search,TRUE,7,18.1665,,
20055121,facebook,tv,TRUE,1,18.0931,,
20055462,facebook,facebook,TRUE,1,54.2059,,
20055668,facebook,facebook,TRUE,8,#REF!,,
